"suburb","postcode","freq"
"ABBOTSFORD",3067,6
"ABERFELDIE",3040,2
"AIREYS INLET",3231,1
"AIRPORT WEST",3042,4
"ALBANVALE",3021,2
"ALBERT PARK",3206,5
"ALBION",3020,3
"ALEXANDRA",3714,4
"ALFREDTON",3350,5
"ALLANSFORD",3277,1
"ALPHINGTON",3078,8
"ALTONA",3018,9
"ALTONA MEADOWS",3028,10
"ALTONA NORTH",3025,9
"ANAKIE",3213,1
"ANGLESEA",3230,2
"APOLLO BAY",3233,2
"ARARAT",3377,9
"ARDEER",3022,3
"ARMADALE",3143,11
"ARMSTRONG CREEK",3217,3
"ARNOLDS CREEK",3337,1
"ASCOT VALE",3032,9
"ASCOT VALE WEST",3032,1
"ASHBURTON",3147,11
"ASHWOOD",3147,5
"ASPENDALE",3195,7
"ASPENDALE GARDENS",3195,6
"ATTWOOD",3049,1
"AVENEL",3664,1
"AVOCA",3467,1
"AVONDALE HEIGHTS",3034,5
"AVONSLEIGH",3782,1
"AXEDALE",3551,3
"BACCHUS MARSH",3340,8
"BAIRNSDALE",3875,11
"BALACLAVA",3183,4
"BALLAN",3342,3
"BALLARAT",3350,21
"BALLARAT CENTRAL",3350,1
"BALLARAT NORTH",3350,1
"BALMORAL",3407,1
"BALNARRING",3926,3
"BALWYN",3103,9
"BALWYN NORTH",3104,12
"BANDIANA",3694,1
"BANGHOLME",3175,2
"BANNOCKBURN",3331,4
"BARANDUDA",3691,5
"BARMAH TOWN",3639,1
"BARNAWARTHA",3688,1
"BARWON HEADS",3227,2
"BAXTER",3911,2
"BAYLES",3981,1
"BAYSWATER",3153,9
"BAYSWATER NORTH",3153,5
"BEACONSFIELD",3807,7
"BEACONSFIELD UPPER",3808,4
"BEAUFORT",3373,1
"BEAUMARIS",3193,9
"BEAUMARIS EAST",3193,1
"BEECHWORTH",3747,5
"BELGRAVE",3160,3
"BELGRAVE HEIGHTS",3160,3
"BELGRAVE SOUTH",3160,2
"BELL PARK",3215,1
"BELL POST HILL",3215,6
"BELLBRAE",3228,1
"BELLBRIDGE",3691,1
"BELLFIELD",3081,1
"BELMONT",3216,14
"BENALLA",3672,10
"BENDIGO",3550,17
"BENDIGO SOUTH",3550,1
"BENNETTSWOOD",3125,1
"BENTLEIGH",3204,11
"BENTLEIGH EAST",3165,19
"BERWICK",3806,32
"BEULAH",3395,1
"BEVERIDGE",3753,2
"BIG HILL",3555,1
"BIRCHIP",3483,1
"BIRREGURRA",3242,1
"BITTERN",3918,2
"BLACK HILL",3350,1
"BLACK ROCK",3193,5
"BLACKBURN",3130,14
"BLACKBURN NORTH",3130,6
"BLACKBURN SOUTH",3130,6
"BOLINDA",3432,1
"BONBEACH",3196,2
"BONEO",3939,1
"BOOLARRA",3870,1
"BOORT",3537,1
"BORONIA",3155,13
"BORONIA WEST",3155,1
"BOX HILL",3128,11
"BOX HILL NORTH",3129,8
"BOX HILL SOUTH",3128,2
"BOXHILL",3128,1
"BRANXHOLME",3302,1
"BRAYBROOK",3019,14
"BREAKWATER",3219,1
"BRIAGOLONG",3860,1
"BRIAR HILL",3088,4
"BRIGHT",3741,3
"BRIGHTON",3186,22
"BRIGHTON EAST",3187,15
