"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201516","ASC","1: 0-4","90","18","$8.75","$1.80"
"2",20602,"Darebin - South","FY201516","ASC","1: 0-4","50","13","$8.20","$2.10"
"3",20603,"Essendon","FY201516","ASC","1: 0-4","70","15","$10.50","$7.20"
"4",20604,"Melbourne City","FY201516","ASC","1: 0-4","90","12","$8.30","$2.35"
"5",20605,"Port Phillip","FY201516","ASC","1: 0-4","60","11","$9.40","$2.15"
"6",20606,"Stonnington - West","FY201516","ASC","1: 0-4","100","13","$10.90","$2.75"
"7",20607,"Yarra","FY201516","ASC","1: 0-4","80","18","$8.10","$2.30"
"8",20701,"Boroondara","FY201516","ASC","1: 0-4","210","50","$9.50","$1.95"
"9",20702,"Manningham - West","FY201516","ASC","1: 0-4","60","17","$8.55","$3.20"
"10",20703,"Whitehorse - West","FY201516","ASC","1: 0-4","90","27","$9.35","$1.40"
"11",20801,"Bayside","FY201516","ASC","1: 0-4","120","28","$9.75","$1.30"
"12",20802,"Glen Eira","FY201516","ASC","1: 0-4","180","34","$9.20","$3.00"
"13",20803,"Kingston","FY201516","ASC","1: 0-4","140","25","$8.60","$2.05"
"14",20804,"Stonnington - East","FY201516","ASC","1: 0-4","60","11","$10.25","$2.70"
"15",20901,"Banyule","FY201516","ASC","1: 0-4","120","43","$8.05","$1.55"
"16",20902,"Darebin - North","FY201516","ASC","1: 0-4","50","22","$7.30","$1.95"
"17",20903,"Nillumbik - Kinglake","FY201516","ASC","1: 0-4","50","26","$6.95","$1.65"
"18",20904,"Whittlesea - Wallan","FY201516","ASC","1: 0-4","130","43","$8.35","$2.35"
"19",21001,"Keilor","FY201516","ASC","1: 0-4","40","14","$8.00","$1.20"
"20",21002,"Macedon Ranges","FY201516","ASC","1: 0-4","10","7","$6.80","$1.15"
"21",21003,"Moreland - North","FY201516","ASC","1: 0-4","30","14","$8.65","$2.30"
"22",21004,"Sunbury","FY201516","ASC","1: 0-4","20","14","$8.80","$3.00"
"23",21005,"Tullamarine - Broadmeadows","FY201516","ASC","1: 0-4","80","30","$7.60","$1.70"
"24",21101,"Knox","FY201516","ASC","1: 0-4","100","39","$8.35","$1.90"
"25",21102,"Manningham - East","FY201516","ASC","1: 0-4","20","13","$8.65","$2.35"
"26",21103,"Maroondah","FY201516","ASC","1: 0-4","70","31","$8.05","$1.80"
"27",21104,"Whitehorse - East","FY201516","ASC","1: 0-4","50","16","$8.00","$2.05"
"28",21105,"Yarra Ranges","FY201516","ASC","1: 0-4","80","54","$7.30","$1.80"
"29",21201,"Cardinia","FY201516","ASC","1: 0-4","60","18","$7.00","$1.55"
"30",21202,"Casey - North","FY201516","ASC","1: 0-4","80","28","$8.30","$1.85"
"31",21203,"Casey - South","FY201516","ASC","1: 0-4","110","26","$7.75","$2.15"
"32",21204,"Dandenong","FY201516","ASC","1: 0-4","100","30","$7.60","$2.45"
"33",21205,"Monash","FY201516","ASC","1: 0-4","190","43","$8.55","$1.90"
"34",21301,"Brimbank","FY201516","ASC","1: 0-4","80","33","$7.65","$1.45"
"35",21302,"Hobsons Bay","FY201516","ASC","1: 0-4","80","27","$8.10","$1.15"
"36",21303,"Maribyrnong","FY201516","ASC","1: 0-4","50","15","$8.25","$1.60"
"37",21304,"Melton - Bacchus Marsh","FY201516","ASC","1: 0-4","110","37","$7.45","$0.95"
"38",21305,"Wyndham","FY201516","ASC","1: 0-4","180","41","$6.75","$1.40"
"39",21401,"Frankston","FY201516","ASC","1: 0-4","70","23","$8.15","$2.30"
"40",21402,"Mornington Peninsula","FY201516","ASC","1: 0-4","110","36","$8.80","$2.35"
