"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201415","ASC","1: 0-4","60","17","$8.15","$1.65"
"2",20602,"Darebin - South","FY201415","ASC","1: 0-4","50","11","$7.45","$1.95"
"3",20603,"Essendon","FY201415","ASC","1: 0-4","80","13","$8.10","$1.80"
"4",20604,"Melbourne City","FY201415","ASC","1: 0-4","50","9","$7.90","$2.50"
"5",20605,"Port Phillip","FY201415","ASC","1: 0-4","60","11","$8.70","$2.05"
"6",20606,"Stonnington - West","FY201415","ASC","1: 0-4","80","11","$10.55","$2.85"
"7",20607,"Yarra","FY201415","ASC","1: 0-4","60","17","$7.45","$1.85"
"8",20701,"Boroondara","FY201415","ASC","1: 0-4","220","42","$9.20","$2.00"
"9",20702,"Manningham - West","FY201415","ASC","1: 0-4","60","15","$7.65","$2.30"
"10",20703,"Whitehorse - West","FY201415","ASC","1: 0-4","70","19","$8.80","$1.40"
"11",20801,"Bayside","FY201415","ASC","1: 0-4","160","22","$9.15","$1.30"
"12",20802,"Glen Eira","FY201415","ASC","1: 0-4","120","30","$8.80","$2.85"
"13",20803,"Kingston","FY201415","ASC","1: 0-4","120","25","$8.00","$1.80"
"14",20804,"Stonnington - East","FY201415","ASC","1: 0-4","80","11","$9.55","$2.40"
"15",20901,"Banyule","FY201415","ASC","1: 0-4","150","36","$7.40","$1.35"
"16",20902,"Darebin - North","FY201415","ASC","1: 0-4","60","18","$6.90","$1.85"
"17",20903,"Nillumbik - Kinglake","FY201415","ASC","1: 0-4","60","21","$6.50","$1.80"
"18",20904,"Whittlesea - Wallan","FY201415","ASC","1: 0-4","90","38","$7.75","$2.05"
"19",21001,"Keilor","FY201415","ASC","1: 0-4","30","13","$7.35","$1.20"
"20",21002,"Macedon Ranges","FY201415","ASC","1: 0-4","10","7","$6.55","$1.35"
"21",21003,"Moreland - North","FY201415","ASC","1: 0-4","30","12","$7.95","$1.90"
"22",21004,"Sunbury","FY201415","ASC","1: 0-4","20","9","$7.50","$1.50"
"23",21005,"Tullamarine - Broadmeadows","FY201415","ASC","1: 0-4","70","24","$6.90","$1.50"
"24",21101,"Knox","FY201415","ASC","1: 0-4","100","36","$7.90","$1.80"
"25",21102,"Manningham - East","FY201415","ASC","1: 0-4","20","9","$7.80","$2.30"
"26",21103,"Maroondah","FY201415","ASC","1: 0-4","70","24","$7.40","$1.70"
"27",21104,"Whitehorse - East","FY201415","ASC","1: 0-4","40","14","$7.50","$1.85"
"28",21105,"Yarra Ranges","FY201415","ASC","1: 0-4","100","49","$6.75","$1.65"
"29",21201,"Cardinia","FY201415","ASC","1: 0-4","30","17","$7.25","$1.70"
"30",21202,"Casey - North","FY201415","ASC","1: 0-4","100","26","$7.65","$1.70"
"31",21203,"Casey - South","FY201415","ASC","1: 0-4","100","25","$7.35","$1.95"
"32",21204,"Dandenong","FY201415","ASC","1: 0-4","110","31","$7.05","$2.15"
"33",21205,"Monash","FY201415","ASC","1: 0-4","190","38","$7.85","$2.10"
"34",21301,"Brimbank","FY201415","ASC","1: 0-4","50","30","$7.05","$1.25"
"35",21302,"Hobsons Bay","FY201415","ASC","1: 0-4","70","20","$7.40","$1.30"
"36",21303,"Maribyrnong","FY201415","ASC","1: 0-4","70","14","$7.65","$1.65"
"37",21304,"Melton - Bacchus Marsh","FY201415","ASC","1: 0-4","110","26","$7.00","$0.85"
"38",21305,"Wyndham","FY201415","ASC","1: 0-4","190","39","$6.40","$1.40"
"39",21401,"Frankston","FY201415","ASC","1: 0-4","60","22","$7.55","$2.10"
"40",21402,"Mornington Peninsula","FY201415","ASC","1: 0-4","100","35","$8.25","$2.20"
