ServiceApprovalNumber,ServiceName,ProviderApprovalNumber,ServiceType,ServiceAddress,Suburb,Postcode,Phone,Fax,Email Address,NumberOfApprovedPlaces,OverallRating,lat,lng,ProviderLegalName,state,country
SE-00002613,Alexandra & District Kindergarten,PR-00001304,Centre,15 Bayley Street,ALEXANDRA,3714,03 5772 1387,03 5772 1920,alexandra.kin@kindergarten.vic.gov.au,46.0,Exceeding,-37.1922277,145.7087625,Alexandra and District Kindergarten Inc,Vic,Australia
SE-40010270,Alexandra & District Kindergarten,PR-00001304,Centre,2456 Goulburn Valley Hwy,ALEXANDRA,3714,0357721387,0357722540,alexandra.kin@kindergarten.vic.gov.au,23.0,NA,-37.1912686,145.7219432,Alexandra and District Kindergarten Inc,Vic,Australia
SE-00002614,Alexandra Baby Care,PR-00001754,Centre,13 Coster Street,ALEXANDRA,3714,03 5772 2155,,alexandrababycare@bigpond.com,29.0,Not,-37.193338,145.707901,Debra Joy Douglas,Vic,Australia
SE-00004878,Murrindindi Family Day Care,PR-00001704,Family,28 Perkins St,ALEXANDRA,3714,03 5772 0333,03 5772 2291,mhbcc@murrindindi.vic.gov.au,,Meeting,-37.1907639,145.7102318,Murrindindi Shire Council,Vic,Australia
SE-00002615,Altona Kindergarten,PR-00001947,Centre,89 Blyth Street,ALTONA,3018,0393982839,0394450346,altona@ecms.org.au,30.0,Exceeding,-37.8677191,144.8257971,Early Childhood Management Services Inc,Vic,Australia
SE-00002620,Somers Parade Kindergarten,PR-00001947,Centre,4 Somers Parade,ALTONA,3018,0393981526,0394450346,somersparade@ecms.org.au,30.0,Exceeding,-37.8709095,144.8104263,Early Childhood Management Services Inc,Vic,Australia
SE-00005081,Camp Australia - St Marys Altona Primary School OSHC,PR-00002539,Centre,95A Railway Street,ALTONA,3018,1300105343,,opsadmin@campaustralia.com.au,80.0,Meeting,-37.8666444,144.828997,Camp Australia Pty Limited,Vic,Australia
SE-00005759,Camp Australia - Altona P-9 College OSHC,PR-00002539,Centre,Grieve Parade,ALTONA,3018,1300105343,,opsadmin@campaustralia.com.au,30.0,Meeting,-37.8633642,144.8185804,Camp Australia Pty Limited,Vic,Australia
SE-00004605,Goodstart Early Learning Altona,PR-00001129,Centre,24 Upton Street,ALTONA,3018,03 9398 4634,03 9315 0632,ksn@goodstart.org.au,60.0,Meeting,-37.8671428,144.8238428,Goodstart Early Learning Ltd,Vic,Australia
SE-00005283,Hobsons Bay Family Day Care,PR-00001574,Family,115 Civic Parade,ALTONA,3018,0399321527,0399321555,fdc@hobsonsbay.vic.gov.au,,Exceeding,-37.863727,144.8310159,Hobsons Bay City Council,Vic,Australia
SE-00005480,Altona Primary School OSHC,PR-00002798,Centre,109 Blyth Street,ALTONA,3018,0393982925,0393985834,apsoshc@gmail.com,100.0,Meeting,-37.8673767,144.8227392,Altona Primary School Council,Vic,Australia
SE-40008964,Altona Early Education Centre,PR-40008863,Centre,40 Sargood St,ALTONA,3018,0393985229,,manager@altonachildcare.com.au,68.0,NA,-37.8658004,144.8295457,Altona Early Learning Centre Pty Ltd ATF Azzopardi Family Trust,Vic,Australia
SE-00002621,Seaholme Kindergarten,PR-00001947,Centre,2 Parkside Crescent,SEAHOLME,3018,0393981216,0394450346,seaholme@ecms.org.au,30.0,Not,-37.8657149,144.844204,Early Childhood Management Services Inc,Vic,Australia
SE-00002634,Young Street Kindergarten,PR-00001947,Centre,23 Young St,BACCHUS MARSH,3340,0353672443,,youngstreet@ecms.org.au,60.0,Meeting,-37.6739994,144.4408171,Early Childhood Management Services Inc,Vic,Australia
SE-00002635,Bacchus Marsh Montessori Preschool,PR-40011040,Centre,176 Gisborne Road,BACCHUS MARSH,3340,03 53677706,,bmmontessori@gmail.com,58.0,Not,-37.6582351,144.4445586,UNITING (VICTORIA AND TASMANIA) LIMITED,Vic,Australia
SE-00002636,Bacchus Marsh Child Care & Kindergarten Centre,PR-00002203,Centre,6 Clifton Drive,BACCHUS MARSH,3340,03 5367 3936,03 5367 8830,bmckc@hotkey.net.au,50.0,Meeting,-37.665169,144.4361308,Northwest Family Services Pty Ltd,Vic,Australia
SE-00002637,Pentland Childcare & Kindergarten Centre,PR-00002163,Centre,138-140 Halletts Way,BACCHUS MARSH,3340,03 5367 5248,03 5367 5207,pcckc1@bigpond.com,100.0,Not,-37.6568099,144.4245233,Pentland Child Care & Kindergarten Centre Pty Ltd,Vic,Australia
SE-00004177,Aussie Kindies Early Learning Bacchus Marsh,PR-40001112,Centre,Grey Street,BACCHUS MARSH,3340,0353673822,,compliance@affinityeducation.com.au,85.0,Not,-37.6580034,144.4314879,Affinity Education Group Limited,Vic,Australia
SE-00005781,Bacchus Marsh OSHClub,PR-40004402,Centre,54-56 Lerderderg Street,BACCHUS MARSH,3340,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,60.0,Meeting,-37.6730998,144.4431036,OSHCLUB PTY LTD,Vic,Australia
SE-00005788,Darley Primary School Out of School Hours Care,PR-00002937,Centre,Nelson Street,BACCHUS MARSH,3340,03 5367 1558,03 5367 5101,darley.ps@edumail.vic.gov.au,75.0,Exceeding,-37.6528749,144.4379058,Darley Primary School Council,Vic,Australia
SE-00011612,St Bernards School OSHC,PR-00006758,Centre,19A Gisborne Road,BACCHUS MARSH,3340,0353665800,0353665899,oshc@sbbacchusmarsh.catholic.edu.au,50.0,Not,-37.674256,144.4351267,St Bernard's School,Vic,Australia
SE-00002765,Watts Street Childrens Centre,PR-00001947,Centre,10-12 Watts Street,BOX HILL,3128,0398997411,0398973572,watts@ecms.org.au,80.0,Exceeding,-37.8172312,145.1255906,Early Childhood Management Services Inc,Vic,Australia
SE-00002745,St Peters Anglican Kindergarten,PR-00002196,Centre,33 Bank Street,BOX HILL,3128,03 9890 8457,03 9890 8457,st.peters.anglican.kin@kindergarten.vic.gov.au,25.0,Exceeding,-37.8197212,145.1272397,St Peter's Anglican Kindergarten Box Hill Inc,Vic,Australia
SE-00002758,Sweetland Road Early Learning Centre,PR-00000823,Centre,24 Sweetland Road,BOX HILL,3128,0398904257,0398906281,sweetlandroad@gelcmail.com.au,46.0,Meeting,-37.8247373,145.1351596,Guardian Community Early Learning Centres Pty Ltd,Vic,Australia
SE-00004078,Kingswood College Early Learning Centre,PR-00001610,Centre,355 Station Street,BOX HILL,3128,0398961733,0398961779,corser.w@kingswoodcollege.vic.edu.au,40.0,Exceeding,-37.8324488,145.1207056,Kingswood College Ltd,Vic,Australia
SE-00006179,Camp Australia - St Francis Xavier School OSHC,PR-00002539,Centre,1087 Whitehorse Road,BOX HILL,3128,1300105343,,oshc@campaustralia.com.au,75.0,Meeting,-37.818599,145.1318341,Camp Australia Pty Limited,Vic,Australia
SE-00004646,Goodstart Early Learning Box Hill - Whitehorse Road,PR-00001129,Centre,1056 Whitehorse Road,BOX HILL,3128,03 9898 5533,,box@goodstart.org.au,82.0,Meeting,-37.8190894,145.1290995,Goodstart Early Learning Ltd,Vic,Australia
SE-00004650,Goodstart Early Learning Box Hill - Canterbury Road,PR-00001129,Centre,974 Canterbury Road,BOX HILL,3128,03 9899 9522,,ksy@goodstart.org.au,133.0,Exceeding,-37.8297893,145.1291466,Goodstart Early Learning Ltd,Vic,Australia
SE-00005124,Kingswood College OSHClub,PR-40004402,Centre,355 Station Street,BOX HILL,3128,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,57.0,Meeting,-37.8324488,145.1207056,OSHCLUB PTY LTD,Vic,Australia
SE-40001313,Mothers Love Family Day Care,PR-40000860,Family,"Suite 6, 205A Middleborough Rd",BOX HILL,3128,0402748712,,admin@mlchildcare.com.au,,Not,-37.839206,145.1345391,MOTHERS LOVE CHILD CARE SERVICES PTY. LTD.,Vic,Australia
