"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201314","ASC","1: 0-4","80","16","$7.70","$1.70"
"2",20602,"Darebin - South","FY201314","ASC","1: 0-4","50","11","$7.10","$1.85"
"3",20603,"Essendon","FY201314","ASC","1: 0-4","50","14","$7.70","$1.55"
"4",20604,"Melbourne City","FY201314","ASC","1: 0-4","70","9","$8.00","$2.70"
"5",20605,"Port Phillip","FY201314","ASC","1: 0-4","40","11","$9.15","$2.90"
"6",20606,"Stonnington - West","FY201314","ASC","1: 0-4","80","11","$10.00","$2.85"
"7",20607,"Yarra","FY201314","ASC","1: 0-4","70","15","$7.20","$1.85"
"8",20701,"Boroondara","FY201314","ASC","1: 0-4","170","40","$8.75","$1.95"
"9",20702,"Manningham - West","FY201314","ASC","1: 0-4","40","16","$7.65","$2.45"
"10",20703,"Whitehorse - West","FY201314","ASC","1: 0-4","90","22","$8.40","$1.70"
"11",20801,"Bayside","FY201314","ASC","1: 0-4","120","22","$8.70","$1.65"
"12",20802,"Glen Eira","FY201314","ASC","1: 0-4","130","33","$7.95","$2.45"
"13",20803,"Kingston","FY201314","ASC","1: 0-4","120","23","$7.65","$1.95"
"14",20804,"Stonnington - East","FY201314","ASC","1: 0-4","80","11","$9.15","$1.70"
"15",20901,"Banyule","FY201314","ASC","1: 0-4","110","32","$7.10","$1.40"
"16",20902,"Darebin - North","FY201314","ASC","1: 0-4","50","20","$6.50","$1.55"
"17",20903,"Nillumbik - Kinglake","FY201314","ASC","1: 0-4","40","22","$6.25","$1.95"
"18",20904,"Whittlesea - Wallan","FY201314","ASC","1: 0-4","100","37","$7.50","$2.00"
"19",21001,"Keilor","FY201314","ASC","1: 0-4","30","13","$7.15","$1.05"
"20",21002,"Macedon Ranges","FY201314","ASC","1: 0-4","10","7","$6.40","$1.35"
"21",21003,"Moreland - North","FY201314","ASC","1: 0-4","30","13","$7.30","$1.80"
"22",21004,"Sunbury","FY201314","ASC","1: 0-4","20","10","$7.00","$1.50"
"23",21005,"Tullamarine - Broadmeadows","FY201314","ASC","1: 0-4","80","25","$6.40","$1.50"
"24",21101,"Knox","FY201314","ASC","1: 0-4","100","38","$7.40","$1.55"
"25",21102,"Manningham - East","FY201314","ASC","1: 0-4","20","9","$7.75","$2.70"
"26",21103,"Maroondah","FY201314","ASC","1: 0-4","70","26","$7.05","$1.60"
"27",21104,"Whitehorse - East","FY201314","ASC","1: 0-4","40","14","$7.30","$1.75"
"28",21105,"Yarra Ranges","FY201314","ASC","1: 0-4","90","46","$6.15","$1.45"
"29",21201,"Cardinia","FY201314","ASC","1: 0-4","20","16","$6.75","$1.20"
"30",21202,"Casey - North","FY201314","ASC","1: 0-4","100","24","$7.50","$1.70"
"31",21203,"Casey - South","FY201314","ASC","1: 0-4","90","24","$7.15","$1.95"
"32",21204,"Dandenong","FY201314","ASC","1: 0-4","120","25","$6.60","$2.80"
"33",21205,"Monash","FY201314","ASC","1: 0-4","160","37","$7.55","$1.80"
"34",21301,"Brimbank","FY201314","ASC","1: 0-4","60","27","$6.75","$1.20"
"35",21302,"Hobsons Bay","FY201314","ASC","1: 0-4","70","20","$6.95","$1.35"
"36",21303,"Maribyrnong","FY201314","ASC","1: 0-4","60","10","$7.05","$1.60"
"37",21304,"Melton - Bacchus Marsh","FY201314","ASC","1: 0-4","90","23","$7.20","$1.80"
"38",21305,"Wyndham","FY201314","ASC","1: 0-4","170","35","$6.20","$1.35"
"39",21401,"Frankston","FY201314","ASC","1: 0-4","60","22","$7.15","$1.85"
"40",21402,"Mornington Peninsula","FY201314","ASC","1: 0-4","80","33","$7.95","$2.20"
