postcode,fees,suburb,qtile
3038,85.5,KEILOR DOWNS,1
3038,85.5,TAYLORS LAKES,1
3781,86.01,COCKATOO,1
3034,87.79,AVONDALE HEIGHTS,1
3200,90.01,FRANKSTON NORTH,1
3782,90.01,EMERALD,1
3782,90.01,AVONSLEIGH,1
3782,90.01,MACCLESFIELD,1
3913,90.01,TYABB,1
3980,90.01,TOORADIN,1
3915,90.75,HASTINGS,1
3175,91.12,DANDENONG SOUTH,1
3175,91.12,DANDENONG NTH,1
3175,91.12,DANDENONG NORTH,1
3175,91.12,BANGHOLME,1
3175,91.12,DANDENONG,1
3139,91.51,DON VALLEY,1
3139,91.51,LAUNCHING PLACE,1
3139,91.51,WOORI YALLOCK,1
3139,91.51,SEVILLE EAST,1
3139,91.51,WANDIN NORTH,1
3139,91.51,SEVILLE,1
3977,92.74,SANDHURST,1
3977,92.74,CRANBOURNE SOUTH,1
3977,92.74,SKYE,1
3977,92.74,CRANBOURNE,1
3977,92.74,CRANBOURNE NORTH,1
3977,92.74,CRANBOURNE WEST,1
3977,92.74,DEVON MEADOWS,1
3977,92.74,CRANBOURNE EAST,1
3021,93.38,KEALBA,1
3021,93.38,ALBANVALE,1
3021,93.38,ST ALBANS NORTH,1
3021,93.38,KINGS PARK,1
3021,93.38,ST ALBANS,1
3137,93.63,KILSYTH,1
3757,93.67,WHITTLESEA,1
3757,93.67,KINGLAKE CENTRAL,1
3047,93.75,BROADMEADOWS,1
3047,93.75,EASTMEADOWS,1
3047,93.75,DALLAS,1
3174,93.83,NOBLE PARK NORTH,1
3174,93.83,NOBLE PARK,1
3756,94.01,WALLAN,1
3043,95.17,GLADSTONE PARK,1
3043,95.17,TULLAMARINE,1
3043,95.17,GOWANBRAE,1
3807,96.01,BEACONSFIELD,1
3976,96.5,HAMPTON PARK,1
3095,96.83,ELTHAM NORTH,1
3095,96.83,RESEARCH,1
3095,96.83,ELTHAM,1
3802,96.86,ENDEAVOUR HILLS,1
3201,97.87,CARRUM DOWNS,1
3201,97.87,FRANKSTON NORTH,1
3805,98.01,NARRE WARREN SOUTH,1
3805,98.01,NARRE WARREN,1
3912,98.37,SOMERVILLE,1
3912,98.37,PEARCEDALE,1
3754,98.61,DOREEN,1
3754,98.61,MERNDA,1
3777,98.75,CHUM CREEK,1
3777,98.75,HEALESVILLE,1
3796,99.01,MOUNT EVELYN,1
3048,99.33,COOLAROO WEST,1
3048,99.33,MEADOW HEIGHTS,1
3048,99.33,COOLAROO,1
3172,99.4,SPRINGVALE SOUTH,1
3172,99.4,DINGLEY VILLAGE,1
3810,99.96,PAKENHAM,1
3173,100.01,KEYSBOROUGH,2
3804,100.01,NARRE WARREN NORTH,2
3804,100.01,NARRE WARREN EAST,2
3926,100.01,BALNARRING,2
3911,100.79,LANGWARRIN SOUTH,2
3911,100.79,BAXTER,2
3099,100.83,HURSTBRIDGE,2
3765,101.06,MONTROSE,2
3140,101.51,LILYDALE,2
3059,102.06,GREENVALE,2
3061,102.06,CAMPBELLFIELD,2
3177,102.19,EUMEMMERRING,2
3177,102.19,DOVETON,2
3803,102.19,HALLAM,2
3000,102.47,MELBOURNE,2
3000,102.47,EAST MELBOURNE,2
