"suburb","postcode","freq"
"ABBOTSFORD",3067,4
"AIRPORT WEST",3042,2
"ALBANVALE",3021,2
"ALBERT PARK",3206,3
"ALBION",3020,1
"ALEXANDRA",3714,3
"ALPHINGTON",3078,3
"ALTONA",3018,6
"ALTONA MEADOWS",3028,9
"ALTONA NORTH",3025,4
"ANAKIE",3221,1
"ANGLESEA",3230,2
"APOLLO BAY",3233,3
"ARARAT",3377,2
"ARDEER",3022,3
"ARMADALE",3143,19
"ASCOT VALE",3032,7
"ASHBURTON",3147,3
"ASHWOOD",3147,3
"ASPENDALE",3195,3
"ASPENDALE GARDENS",3195,1
"ATTWOOD",3049,2
"AVONDALE HEIGHTS",3034,7
"AXEDALE",3551,1
"BACCHUS MARSH",3340,6
"BAILIESTON",3608,1
"BAIRNSDALE",3875,6
"BAKERY HILL",3350,1
"BAKERY HILL",3354,1
"BALACLAVA",3183,5
"BALLAN",3342,4
"BALLARAT",3350,6
"BALLARAT",3353,2
"BALLARAT MC",3354,1
"BALLARAT NORTH",3350,2
"BALMORAL",3407,1
"BALNARRING",3926,1
"BALWYN",3103,9
"BALWYN NORTH",3104,8
"BANDIANA",3691,1
"BANGHOLME",3175,1
"BANNOCKBURN",3331,1
"BARANDUDA",3691,1
"BARNAWARTHA",3688,1
"BARWON HEADS",3227,2
"BAXTER",3911,4
"BAYSWATER",3153,6
"BEACONSFIELD",3807,5
"BEACONSFIELD UPPER",3808,1
"BEAUMARIS",3193,8
"BEAUMARIS EAST",3193,1
"BEECHWORTH",3747,5
"BELGRAVE",3160,2
"BELGRAVE HEIGHTS",3160,1
"BELGRAVE SOUTH",3160,1
"BELLBRAE",3228,1
"BELLFIELD",3081,1
"BELMONT",3216,5
"BENALLA",3672,7
"BENALLA WEST",3672,1
"BENDIGO",3550,8
"BENDIGO",3552,3
"BENNETTSWOOD",3125,1
"BENTLEIGH",3204,5
"BENTLEIGH EAST",3165,7
"BERWICK",3806,15
"BEVERIDGE",3753,1
"BIG HILL",3555,1
"BIRREGURRA",3242,1
"BITTERN",3918,2
"BLACK ROCK",3193,2
"BLACKBURN",3130,5
"BLACKBURN NORTH",3130,4
"BLACKBURN NORTH",3131,1
"BLACKBURN SOUTH",3130,5
"BONBEACH",3196,1
"BORONIA",3155,7
"BOTANIC RIDGE",3977,1
"BOX HILL",3128,8
"BOX HILL NORTH",3129,4
"BOX HILL SOUTH",3128,4
"BRANDITT",3630,1
"BRANDON PARK",3150,1
"BRAYBROOK",3019,11
"BRIAR HILL",3088,2
"BRIGHT",3741,2
"BRIGHTON",3186,18
"BRIGHTON EAST",3187,4
"BRIGHTON NORTH",3186,2
"BROADFORD",3658,1
"BROADMEADOWS",3047,7
"BROOKFIELD",3338,4
"BRUNSWICK",3056,10
"BRUNSWICK",3148,1
"BRUNSWICK EAST",3057,3
"BRUNSWICK WEST",3055,6
"BULLEEN",3105,11
"BULN BULN",3821,1
"BUNDOORA",3083,14
"BUNINYONG",3357,2
"BURNLEY",3121,1
"BURNSIDE",3023,1
"BURNSIDE HEIGHTS",3023,1
"BURWOOD",3125,8
"BURWOOD EAST",3151,9
"CABARITA",3505,1
"CAIRNLEA",3023,5
"CALIFORNIA GULLY",3556,1
"CAMBERWELL",3124,13
"CAMBERWELL WEST",3124,3
"CAMPBELLFIELD",3061,6
"CAMPERDOWN",3260,2
"CANTERBURY",3126,6
"CARLSRUHE",3442,1
"CARLTON",3053,10
"CARLTON NORTH",3054,2
"CARNEGIE",3163,3
"CAROLINE SPRINGS",3023,13
"CARRUM",3197,1
"CARRUM DOWNS",3201,12
"CASTLEMAINE",3450,4
"CAULFIELD",3162,7
"CAULFIELD EAST",3145,1
"CAULFIELD NORTH",3161,2
"CAULFIELD SOUTH",3162,9
"CHELSEA",3196,4
"CHELSEA HEIGHTS",3196,1
"CHELTENHAM",3192,9
"CHIRNSIDE PARK",3116,3
"CHUM CREEK",3777,1
"CHURCHILL",3842,2
"CLARINDA",3169,5
"CLAYTON",3168,6
"CLAYTON NORTH",3168,1
"CLAYTON SOUTH",3169,4
"CLIFTON HILL",3068,2
"CLYDE",3978,1
"CLYDE NORTH",3978,3
"COBRAM",3644,1
"COBURG",3058,27
"COBURG EAST",3058,1
"COBURG NORTH",3058,1
"COCKATOO",3781,3
"COLAC",3250,3
"COLDSTREAM",3770,2
