"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201213","LDC","2: 5-9","490","32","$8.35","$0.60"
"2",20602,"Darebin - South","FY201213","LDC","2: 5-9","310","15","$8.90","$1.05"
"3",20603,"Essendon","FY201213","LDC","2: 5-9","290","15","$8.45","$1.00"
"4",20604,"Melbourne City","FY201213","LDC","2: 5-9","140","12","$8.60","$1.15"
"5",20605,"Port Phillip","FY201213","LDC","2: 5-9","360","25","$9.45","$1.55"
"6",20606,"Stonnington - West","FY201213","LDC","2: 5-9","120","10","$9.85","$0.75"
"7",20607,"Yarra","FY201213","LDC","2: 5-9","420","26","$8.90","$0.90"
"8",20701,"Boroondara","FY201213","LDC","2: 5-9","440","30","$9.30","$1.50"
"9",20702,"Manningham - West","FY201213","LDC","2: 5-9","520","31","$8.25","$1.10"
"10",20703,"Whitehorse - West","FY201213","LDC","2: 5-9","340","16","$8.35","$0.80"
"11",20801,"Bayside","FY201213","LDC","2: 5-9","420","20","$10.00","$1.95"
"12",20802,"Glen Eira","FY201213","LDC","2: 5-9","1,140","51","$9.75","$2.20"
"13",20803,"Kingston","FY201213","LDC","2: 5-9","570","27","$8.35","$1.15"
"14",20804,"Stonnington - East","FY201213","LDC","2: 5-9","270","11","$9.65","$1.65"
"15",20901,"Banyule","FY201213","LDC","2: 5-9","400","21","$7.90","$0.90"
"16",20902,"Darebin - North","FY201213","LDC","2: 5-9","370","22","$8.80","$5.20"
"17",20903,"Nillumbik - Kinglake","FY201213","LDC","2: 5-9","360","16","$8.20","$1.75"
"18",20904,"Whittlesea - Wallan","FY201213","LDC","2: 5-9","690","39","$7.40","$0.85"
"19",21001,"Keilor","FY201213","LDC","2: 5-9","190","9","$7.85","$1.00"
"20",21002,"Macedon Ranges","FY201213","LDC","2: 5-9","160","6","$6.75","$0.40"
"21",21003,"Moreland - North","FY201213","LDC","2: 5-9","280","14","$7.75","$1.05"
"22",21004,"Sunbury","FY201213","LDC","2: 5-9","150","6","$6.90","$0.15"
"23",21005,"Tullamarine - Broadmeadows","FY201213","LDC","2: 5-9","650","40","$7.05","$0.55"
"24",21101,"Knox","FY201213","LDC","2: 5-9","700","39","$7.60","$0.85"
"25",21102,"Manningham - East","FY201213","LDC","2: 5-9","60","     <5","$7.70","$0.40"
"26",21103,"Maroondah","FY201213","LDC","2: 5-9","580","32","$7.20","$0.50"
"27",21104,"Whitehorse - East","FY201213","LDC","2: 5-9","340","19","$8.30","$1.00"
"28",21105,"Yarra Ranges","FY201213","LDC","2: 5-9","700","30","$7.30","$0.90"
"29",21201,"Cardinia","FY201213","LDC","2: 5-9","600","15","$6.90","$0.95"
"30",21202,"Casey - North","FY201213","LDC","2: 5-9","840","35","$6.85","$0.70"
"31",21203,"Casey - South","FY201213","LDC","2: 5-9","1,300","45","$6.60","$1.00"
"32",21204,"Dandenong","FY201213","LDC","2: 5-9","570","34","$6.80","$1.05"
"33",21205,"Monash","FY201213","LDC","2: 5-9","600","36","$8.05","$0.85"
"34",21301,"Brimbank","FY201213","LDC","2: 5-9","610","33","$6.95","$0.60"
"35",21302,"Hobsons Bay","FY201213","LDC","2: 5-9","420","20","$8.65","$1.20"
"36",21303,"Maribyrnong","FY201213","LDC","2: 5-9","340","20","$8.30","$0.95"
"37",21304,"Melton - Bacchus Marsh","FY201213","LDC","2: 5-9","1,000","43","$6.65","$0.55"
"38",21305,"Wyndham","FY201213","LDC","2: 5-9","880","41","$7.40","$0.50"
"39",21401,"Frankston","FY201213","LDC","2: 5-9","750","37","$7.50","$2.00"
"40",21402,"Mornington Peninsula","FY201213","LDC","2: 5-9","580","29","$7.35","$1.40"
