"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201314","BSC","2: 5-9","780","15","$9.25","$2.85"
"2",20602,"Darebin - South","FY201314","BSC","2: 5-9","690","9","$8.25","$2.20"
"3",20603,"Essendon","FY201314","BSC","2: 5-9","640","13","$10.75","$3.20"
"4",20604,"Melbourne City","FY201314","BSC","2: 5-9","350","7","$8.20","$2.50"
"5",20605,"Port Phillip","FY201314","BSC","2: 5-9","580","10","$10.85","$4.20"
"6",20606,"Stonnington - West","FY201314","BSC","2: 5-9","210","     <5","$10.30","$5.85"
"7",20607,"Yarra","FY201314","BSC","2: 5-9","650","11","$8.85","$1.90"
"8",20701,"Boroondara","FY201314","BSC","2: 5-9","1,600","28","$11.25","$3.95"
"9",20702,"Manningham - West","FY201314","BSC","2: 5-9","560","15","$9.60","$3.05"
"10",20703,"Whitehorse - West","FY201314","BSC","2: 5-9","1,030","19","$10.35","$4.05"
"11",20801,"Bayside","FY201314","BSC","2: 5-9","980","19","$11.05","$3.15"
"12",20802,"Glen Eira","FY201314","BSC","2: 5-9","1,300","25","$8.50","$2.60"
"13",20803,"Kingston","FY201314","BSC","2: 5-9","1,050","18","$8.95","$1.90"
"14",20804,"Stonnington - East","FY201314","BSC","2: 5-9","360","7","$11.25","$1.85"
"15",20901,"Banyule","FY201314","BSC","2: 5-9","1,700","30","$8.15","$1.65"
"16",20902,"Darebin - North","FY201314","BSC","2: 5-9","570","11","$7.10","$2.25"
"17",20903,"Nillumbik - Kinglake","FY201314","BSC","2: 5-9","970","21","$7.00","$1.95"
"18",20904,"Whittlesea - Wallan","FY201314","BSC","2: 5-9","1,520","32","$9.30","$2.55"
"19",21001,"Keilor","FY201314","BSC","2: 5-9","450","11","$9.80","$1.95"
"20",21002,"Macedon Ranges","FY201314","BSC","2: 5-9","290","7","$8.75","$2.05"
"21",21003,"Moreland - North","FY201314","BSC","2: 5-9","300","11","$8.50","$2.60"
"22",21004,"Sunbury","FY201314","BSC","2: 5-9","450","10","$8.85","$1.65"
"23",21005,"Tullamarine - Broadmeadows","FY201314","BSC","2: 5-9","1,000","24","$8.00","$2.25"
"24",21101,"Knox","FY201314","BSC","2: 5-9","1,260","36","$9.10","$2.75"
"25",21102,"Manningham - East","FY201314","BSC","2: 5-9","270","8","$9.15","$1.80"
"26",21103,"Maroondah","FY201314","BSC","2: 5-9","1,020","23","$8.30","$1.90"
"27",21104,"Whitehorse - East","FY201314","BSC","2: 5-9","640","13","$8.15","$2.50"
"28",21105,"Yarra Ranges","FY201314","BSC","2: 5-9","1,620","40","$7.25","$1.85"
"29",21201,"Cardinia","FY201314","BSC","2: 5-9","510","12","$7.80","$1.30"
"30",21202,"Casey - North","FY201314","BSC","2: 5-9","1,060","22","$9.50","$3.70"
"31",21203,"Casey - South","FY201314","BSC","2: 5-9","930","21","$8.75","$1.85"
"32",21204,"Dandenong","FY201314","BSC","2: 5-9","650","19","$7.75","$2.85"
"33",21205,"Monash","FY201314","BSC","2: 5-9","1,570","34","$9.35","$2.85"
"34",21301,"Brimbank","FY201314","BSC","2: 5-9","750","22","$8.80","$2.55"
"35",21302,"Hobsons Bay","FY201314","BSC","2: 5-9","1,000","19","$8.60","$2.15"
"36",21303,"Maribyrnong","FY201314","BSC","2: 5-9","550","9","$8.60","$2.60"
"37",21304,"Melton - Bacchus Marsh","FY201314","BSC","2: 5-9","1,430","21","$8.70","$1.20"
"38",21305,"Wyndham","FY201314","BSC","2: 5-9","1,700","30","$8.05","$2.25"
"39",21401,"Frankston","FY201314","BSC","2: 5-9","870","17","$8.30","$2.30"
"40",21402,"Mornington Peninsula","FY201314","BSC","2: 5-9","880","21","$8.40","$2.15"
