"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201213","LDC","1: 0-4","3,810","32","$8.35","$0.60"
"2",20602,"Darebin - South","FY201213","LDC","1: 0-4","1,920","15","$8.90","$1.05"
"3",20603,"Essendon","FY201213","LDC","1: 0-4","2,520","15","$8.45","$1.00"
"4",20604,"Melbourne City","FY201213","LDC","1: 0-4","1,320","12","$8.60","$1.15"
"5",20605,"Port Phillip","FY201213","LDC","1: 0-4","2,550","25","$9.45","$1.55"
"6",20606,"Stonnington - West","FY201213","LDC","1: 0-4","1,330","10","$9.85","$0.75"
"7",20607,"Yarra","FY201213","LDC","1: 0-4","2,900","26","$8.90","$0.90"
"8",20701,"Boroondara","FY201213","LDC","1: 0-4","3,870","30","$9.30","$1.50"
"9",20702,"Manningham - West","FY201213","LDC","1: 0-4","3,120","31","$8.25","$1.10"
"10",20703,"Whitehorse - West","FY201213","LDC","1: 0-4","2,570","16","$8.35","$0.80"
"11",20801,"Bayside","FY201213","LDC","1: 0-4","2,710","20","$10.00","$1.95"
"12",20802,"Glen Eira","FY201213","LDC","1: 0-4","5,580","51","$9.75","$2.20"
"13",20803,"Kingston","FY201213","LDC","1: 0-4","3,620","27","$8.35","$1.15"
"14",20804,"Stonnington - East","FY201213","LDC","1: 0-4","1,460","11","$9.65","$1.65"
"15",20901,"Banyule","FY201213","LDC","1: 0-4","3,470","21","$7.90","$0.90"
"16",20902,"Darebin - North","FY201213","LDC","1: 0-4","2,590","22","$8.80","$5.20"
"17",20903,"Nillumbik - Kinglake","FY201213","LDC","1: 0-4","2,370","16","$8.20","$1.75"
"18",20904,"Whittlesea - Wallan","FY201213","LDC","1: 0-4","5,520","39","$7.40","$0.85"
"19",21001,"Keilor","FY201213","LDC","1: 0-4","1,500","9","$7.85","$1.00"
"20",21002,"Macedon Ranges","FY201213","LDC","1: 0-4","840","6","$6.75","$0.40"
"21",21003,"Moreland - North","FY201213","LDC","1: 0-4","1,720","14","$7.75","$1.05"
"22",21004,"Sunbury","FY201213","LDC","1: 0-4","980","6","$6.90","$0.15"
"23",21005,"Tullamarine - Broadmeadows","FY201213","LDC","1: 0-4","4,670","40","$7.05","$0.55"
"24",21101,"Knox","FY201213","LDC","1: 0-4","3,930","39","$7.60","$0.85"
"25",21102,"Manningham - East","FY201213","LDC","1: 0-4","370","     <5","$7.70","$0.40"
"26",21103,"Maroondah","FY201213","LDC","1: 0-4","4,010","32","$7.20","$0.50"
"27",21104,"Whitehorse - East","FY201213","LDC","1: 0-4","2,320","19","$8.30","$1.00"
"28",21105,"Yarra Ranges","FY201213","LDC","1: 0-4","3,790","30","$7.30","$0.90"
"29",21201,"Cardinia","FY201213","LDC","1: 0-4","2,550","15","$6.90","$0.95"
"30",21202,"Casey - North","FY201213","LDC","1: 0-4","4,090","35","$6.85","$0.70"
"31",21203,"Casey - South","FY201213","LDC","1: 0-4","5,370","45","$6.60","$1.00"
"32",21204,"Dandenong","FY201213","LDC","1: 0-4","3,970","34","$6.80","$1.05"
"33",21205,"Monash","FY201213","LDC","1: 0-4","4,590","36","$8.05","$0.85"
"34",21301,"Brimbank","FY201213","LDC","1: 0-4","4,200","33","$6.95","$0.60"
"35",21302,"Hobsons Bay","FY201213","LDC","1: 0-4","3,250","20","$8.65","$1.20"
"36",21303,"Maribyrnong","FY201213","LDC","1: 0-4","2,710","20","$8.30","$0.95"
"37",21304,"Melton - Bacchus Marsh","FY201213","LDC","1: 0-4","5,920","43","$6.65","$0.55"
"38",21305,"Wyndham","FY201213","LDC","1: 0-4","7,300","41","$7.40","$0.50"
"39",21401,"Frankston","FY201213","LDC","1: 0-4","4,890","37","$7.50","$2.00"
"40",21402,"Mornington Peninsula","FY201213","LDC","1: 0-4","3,880","29","$7.35","$1.40"
